,anomes,rain_max,temp_avg,temp_max,temp_min,hum_max,hum_min
0,201701,73.2,25.284434125682125,40.3,6.8,100.0,10.0
1,201702,73.4,25.068337971462725,43.4,0.0,100.0,10.0
2,201703,88.2,24.66417241417376,44.4,0.0,100.0,10.0
3,201704,69.0,23.633084623855183,39.0,-1.1,100.0,10.0
4,201705,62.8,22.874839977255718,39.2,4.1,100.0,10.0
5,201706,58.0,21.61777066413152,38.8,-4.4,100.0,10.0
6,201707,43.0,20.662193957239165,44.1,-7.4,100.0,10.0
7,201708,70.2,22.50434424908291,43.5,-6.5,100.0,8.0
8,201709,50.6,24.183269054973874,42.3,-9.8,100.0,5.0
9,201710,78.6,24.887852819906698,43.5,-0.8,100.0,8.0
10,201711,82.4,24.35278391101785,43.0,-9.5,100.0,10.0
11,201712,77.4,24.909612514538292,41.9,-8.7,100.0,10.0
12,201801,82.8,24.886737323860995,40.0,0.0,100.0,10.0
13,201802,83.6,24.351927188329423,39.0,0.0,100.0,10.0
14,201803,88.2,24.86553150041503,40.4,0.0,100.0,10.0
15,201804,96.6,23.65892948607109,41.9,-4.3,100.0,11.0
16,201805,87.4,22.121276435872065,38.1,-5.1,100.0,8.0
17,201806,44.0,21.039745337313,43.3,-2.8,100.0,10.0
18,201807,49.8,21.321535947581996,40.0,-5.7,100.0,6.0
19,201808,53.4,21.80607587878718,44.7,-5.2,100.0,5.0
20,201809,87.0,23.801682531427677,45.0,-6.2,100.0,7.0
21,201810,90.6,24.665965428055024,45.0,0.4,100.0,10.0
22,201811,79.4,24.61220021085422,40.8,0.0,100.0,10.0
23,201812,75.4,24.830574758168886,43.1,0.0,100.0,10.0
24,201901,71.0,25.74164018656827,41.3,3.4,100.0,10.0
25,201902,90.0,25.143602371256748,44.7,3.0,100.0,10.0
26,201903,96.0,24.6161181811819,40.8,3.1,100.0,10.0
27,201904,89.0,24.19534923790937,38.5,-4.1,100.0,7.0
28,201905,75.8,23.099981816001097,40.1,-5.4,100.0,5.0
29,201906,40.4,21.94090570625507,38.4,-4.1,100.0,6.0
30,201907,59.2,20.782563747613956,38.6,-8.1,100.0,4.0
31,201908,43.6,21.99805195637359,39.9,-5.3,100.0,4.0
32,201909,80.8,24.29033282965082,44.8,-1.5,100.0,7.0
33,201910,68.6,25.122529392937427,41.6,-5.6,100.0,5.0
34,201911,64.4,25.224460828507535,44.5,1.8,100.0,7.0
35,201912,67.6,25.273168307326106,44.2,2.8,100.0,7.0
36,202001,76.4,25.146325013996783,44.7,-23.9,100.0,7.0
37,202002,87.8,24.76554070808461,40.8,-37.8,100.0,7.0
38,202003,79.6,24.495650018668968,44.4,-44.4,100.0,7.0
39,202004,96.0,23.161267458626355,40.5,-42.3,100.0,7.0
40,202005,81.2,21.270716107933566,41.8,-46.0,100.0,4.0
41,202006,47.4,21.416681109398688,42.0,-46.2,100.0,5.0
42,202007,63.6,20.926525701665913,42.3,-51.3,100.0,7.0
43,202008,34.4,21.784205862566186,43.6,-51.6,100.0,6.0
44,202009,61.2,24.26908014184399,44.5,-48.0,100.0,7.0
45,202010,81.6,25.033699254662857,44.6,-45.0,100.0,7.0
46,202011,87.4,24.379073220726564,44.8,-29.4,100.0,7.0
47,202012,83.2,24.964263787411213,42.5,-23.4,100.0,7.0
48,202101,74.6,25.02759196063571,40.3,5.6,100.0,7.0
49,202102,88.8,24.410513962835804,40.1,1.5,100.0,7.0
50,202103,85.0,24.53866609420684,39.2,4.2,100.0,7.0
51,202104,66.2,23.19537832459538,45.0,-5.1,100.0,7.0
52,202105,76.6,21.538542993786987,44.9,-3.3,100.0,4.0
53,202106,42.8,20.48507974067931,37.4,-7.5,100.0,7.0
54,202107,41.8,19.88252411459506,39.1,-9.9,100.0,4.0
55,202108,56.0,22.074978917181326,41.6,-5.7,100.0,7.0
56,202109,60.0,24.672255712641718,45.0,-1.1,100.0,5.0
57,202110,68.0,23.894524616224682,41.8,-0.2,100.0,7.0
58,202111,69.2,24.06379098896829,42.7,-9.2,100.0,7.0
59,202112,85.6,24.3952360661455,40.1,2.8,100.0,7.0
60,202201,76.0,24.892434886091767,42.2,6.0,100.0,7.0
61,202202,65.4,24.82723982440704,42.9,5.7,100.0,9.0
62,202203,75.4,24.518083386295928,38.7,2.2,100.0,7.0
63,202204,101.4,23.521330187668525,39.2,0.0,100.0,7.0
64,202205,138.2,20.833137774866618,37.5,-2.9,100.0,8.0
65,202206,60.0,20.204223473028303,37.4,-3.9,100.0,7.0
66,202207,44.2,21.502448203675417,37.8,-1.8,100.0,7.0
67,202208,56.6,21.56888207962054,39.7,-6.4,100.0,7.0
68,202209,51.2,22.692815029065695,40.8,-2.5,100.0,7.0
69,202210,71.8,24.1957871330791,41.1,2.5,100.0,7.0
70,202211,81.2,23.288673425703905,43.0,-1.2,100.0,7.0
71,202212,86.6,24.187849479584337,41.4,5.1,100.0,7.0
