anomes,sarampo,tosse,febre,coriza
201801,2.25,30.75,58.75,42.5
201802,4.25,34.0,23.25,52.75
201803,8.25,48.25,13.25,63.5
201804,6.8,70.0,10.8,83.0
201805,4.5,89.75,8.5,83.75
201806,5.5,90.5,7.5,85.0
201807,54.4,85.8,6.8,74.4
201808,50.75,67.75,6.25,70.75
201809,11.8,68.6,6.6,63.2
201810,7.0,56.25,6.75,54.0
201811,5.75,53.75,7.0,58.0
201812,4.2,46.2,6.8,56.4
201901,2.0,29.0,61.0,41.0
201902,6.75,31.25,77.0,50.5
201903,7.4,56.2,89.2,74.6
201904,6.25,71.0,94.0,73.75
201905,5.25,76.5,93.0,82.0
201906,7.2,89.6,84.2,92.0
201907,45.25,80.25,64.0,80.75
201908,90.5,73.75,64.75,84.0
201909,41.6,62.6,66.6,66.0
201910,34.5,55.0,68.25,60.75
201911,23.5,45.5,67.5,58.0
201912,10.8,50.8,64.8,62.8
202001,8.75,23.0,41.0,4.75
202002,42.5,32.0,43.5,10.0
202003,23.8,68.2,72.0,46.8
202004,7.25,38.0,57.75,17.5
202005,6.0,31.8,50.2,15.2
202006,5.25,26.75,44.0,13.75
202007,6.25,26.0,40.25,15.5
202008,8.2,21.2,34.8,13.6
202009,6.25,18.25,32.5,9.75
202010,6.25,17.75,33.0,10.25
202011,4.0,24.8,36.6,14.4
202012,3.5,29.75,42.5,15.75
202101,68.4,20.8,35.6,41.4
202102,52.5,23.25,38.5,45.25
202103,64.5,31.5,45.75,52.5
202104,63.0,24.5,41.5,41.0
202105,63.6,33.2,43.6,63.0
202106,59.75,31.0,36.5,53.0
202107,45.25,30.25,33.25,63.25
202108,53.8,31.2,32.6,52.8
202109,78.0,32.5,32.75,38.0
202110,73.0,36.6,34.6,38.0
202111,63.75,38.25,36.5,36.5
202112,48.5,68.25,71.0,70.25
202201,9.2,78.0,77.0,74.4
202202,9.25,32.5,41.5,28.0
202203,14.75,34.75,42.5,28.75
202204,50.5,51.75,40.5,30.75
202205,39.4,72.6,42.2,43.0
202206,20.25,88.25,47.75,52.0
202207,10.6,62.2,38.4,32.4
202208,15.5,46.0,31.75,30.75
202209,13.75,50.0,35.0,24.25
202210,10.8,39.4,38.6,20.4
202211,10.0,40.5,41.25,28.5
202212,7.25,34.0,34.0,23.0
